variable,mean,sd
charter,0.11102927637635794,0.31418285104097304
city,0.2322614934892373,0.42229360531751375
elem,0.5624058818318717,0.4961121932729429
high,0.2124191691026663,0.4090380012994759
magnet,0.042180616740088106,0.20101209490065097
middle,0.17796084684205865,0.38249672375466587
pct_asian,0.04619513696375174,0.09315090702395253
pct_black,0.1268237568156005,0.21310651149691975
pct_fr_lunch,0.5137887148770719,0.2727959411231015
pct_hispanic,0.2436998323147922,0.2698953432390191
pct_white,0.5397442117878618,0.3174767029061469
rural,0.2916998848436531,0.45456502904214635
suburb,0.33731951457170695,0.4728158865289141
town,0.1387191070954026,0.3456684839115652
